accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
172,Bangalore,Karnataka,12.94144,77.549761,2023-12-08,10:00,10,Friday,0,rural,3,0,rain,low,19,high,distraction,minor,2,1,1,None,0.8
173,Bangalore,Karnataka,12.90836,77.563109,2023-08-24,21:00,21,Thursday,0,highway,1,1,rain,low,27,high,weather,minor,5,1,0,None,0.65
174,Bangalore,Karnataka,13.008178,77.683777,2023-05-09,4:00,4,Tuesday,0,highway,5,0,rain,low,27,low,overspeeding,major,4,0,0,None,0.45
178,Bangalore,Karnataka,13.094302,77.576124,2023-04-30,1:00,1,Sunday,1,rural,1,1,clear,high,32,low,weather,minor,1,0,0,None,0.1
183,Bangalore,Karnataka,12.971567,77.689448,2022-07-11,20:00,20,Monday,0,urban,1,1,fog,low,21,medium,drunk driving,minor,1,0,0,None,0.45
195,Bangalore,Karnataka,13.180613,77.573218,2024-01-30,2:00,2,Tuesday,0,urban,4,0,fog,low,17,low,overspeeding,major,2,1,0,None,0.45
205,Bangalore,Karnataka,12.884671,77.570809,2024-04-07,10:00,10,Sunday,1,urban,1,1,rain,medium,37,low,weather,minor,3,3,1,None,0.4
210,Bangalore,Karnataka,12.898651,77.518953,2024-07-11,18:00,18,Thursday,0,urban,2,0,clear,high,22,high,distraction,minor,3,0,1,None,0.45
216,Bangalore,Karnataka,13.09534,77.402311,2024-11-27,2:00,2,Wednesday,0,rural,5,0,clear,high,34,low,weather,major,5,5,0,None,0.1
219,Bangalore,Karnataka,12.888723,77.598691,2023-08-05,23:00,23,Saturday,1,highway,5,0,rain,medium,25,high,weather,fatal,1,1,0,None,0.65
221,Bangalore,Karnataka,12.966,77.42648,2023-10-28,18:00,18,Saturday,1,highway,4,0,fog,low,17,medium,weather,minor,1,1,1,None,0.6
231,Bangalore,Karnataka,13.166458,77.645976,2022-11-08,0:00,0,Tuesday,0,rural,5,0,fog,low,39,low,weather,major,4,0,0,None,0.45
236,Bangalore,Karnataka,13.160679,77.450578,2022-08-14,17:00,17,Sunday,1,urban,2,0,clear,high,30,medium,overspeeding,major,5,4,1,None,0.25
249,Bangalore,Karnataka,12.87812,77.75548,2022-11-22,11:00,11,Tuesday,0,highway,2,0,rain,medium,15,high,poor road,minor,1,1,0,None,0.45
269,Bangalore,Karnataka,12.933538,77.737824,2025-01-04,18:00,18,Saturday,1,rural,5,0,clear,high,16,medium,overspeeding,minor,3,3,1,None,0.25
270,Bangalore,Karnataka,12.934971,77.501295,2024-07-23,3:00,3,Tuesday,0,urban,6,0,rain,low,35,low,overspeeding,fatal,3,3,0,None,0.65
271,Bangalore,Karnataka,13.088481,77.401871,2023-03-17,22:00,22,Friday,0,highway,4,0,rain,low,32,medium,overspeeding,fatal,4,4,0,None,0.65
279,Bangalore,Karnataka,12.906665,77.751883,2024-07-10,5:00,5,Wednesday,0,highway,6,1,fog,low,36,low,overspeeding,minor,2,2,0,None,0.45
280,Bangalore,Karnataka,12.854596,77.734873,2023-04-08,9:00,9,Saturday,1,highway,4,1,fog,low,30,medium,poor road,minor,4,2,1,None,0.6
307,Bangalore,Karnataka,13.070817,77.754253,2024-10-09,2:00,2,Wednesday,0,highway,6,0,fog,low,17,high,overspeeding,major,4,3,0,None,0.65
321,Bangalore,Karnataka,12.852964,77.561684,2022-08-15,18:00,18,Monday,0,rural,5,1,fog,low,27,high,poor road,major,2,2,1,None,0.8
338,Bangalore,Karnataka,13.130325,77.446646,2023-02-06,9:00,9,Monday,0,urban,5,1,fog,low,21,medium,poor road,minor,2,1,1,None,0.6
352,Bangalore,Karnataka,13.071506,77.582699,2023-10-09,19:00,19,Monday,0,rural,3,0,clear,high,30,medium,poor road,fatal,4,4,1,None,0.45
367,Bangalore,Karnataka,13.028376,77.625565,2023-06-19,18:00,18,Monday,0,highway,1,0,fog,low,39,high,drunk driving,major,4,0,1,None,0.8
375,Bangalore,Karnataka,12.947882,77.70417,2023-05-28,20:00,20,Sunday,1,rural,2,0,clear,high,27,high,poor road,minor,5,5,0,None,0.3
388,Bangalore,Karnataka,13.085418,77.731694,2023-03-24,8:00,8,Friday,0,urban,6,0,clear,high,27,high,drunk driving,major,5,5,1,None,0.45
391,Bangalore,Karnataka,13.018995,77.767071,2024-10-30,1:00,1,Wednesday,0,urban,6,0,fog,low,27,low,poor road,minor,5,0,0,None,0.45
395,Bangalore,Karnataka,13.155137,77.476742,2025-03-12,5:00,5,Wednesday,0,highway,6,1,fog,low,37,medium,weather,minor,3,0,0,None,0.45
407,Bangalore,Karnataka,13.168031,77.626681,2022-07-09,19:00,19,Saturday,1,highway,5,0,fog,low,15,low,weather,major,2,1,1,None,0.6
419,Bangalore,Karnataka,12.917963,77.412591,2022-05-30,5:00,5,Monday,0,rural,5,0,fog,low,21,high,distraction,major,5,0,0,None,0.65
435,Bangalore,Karnataka,12.918688,77.421483,2023-11-29,14:00,14,Wednesday,0,highway,3,0,clear,high,22,high,drunk driving,minor,1,1,0,None,0.3
450,Bangalore,Karnataka,13.001226,77.503201,2024-10-26,13:00,13,Saturday,1,rural,1,0,fog,low,32,medium,weather,minor,2,0,0,None,0.45
457,Bangalore,Karnataka,12.893807,77.446713,2024-12-20,0:00,0,Friday,0,rural,6,1,fog,low,38,low,weather,minor,1,1,0,None,0.45
459,Bangalore,Karnataka,13.010762,77.565505,2024-01-24,11:00,11,Wednesday,0,highway,1,0,rain,low,38,medium,distraction,minor,1,0,0,None,0.45
472,Bangalore,Karnataka,12.874319,77.560204,2024-08-22,21:00,21,Thursday,0,highway,5,1,clear,high,18,high,drunk driving,major,5,3,0,None,0.3
487,Bangalore,Karnataka,13.060177,77.527135,2024-03-09,21:00,21,Saturday,1,rural,5,1,fog,low,16,high,overspeeding,minor,4,2,0,None,0.65
494,Bangalore,Karnataka,13.03119,77.439954,2024-08-09,17:00,17,Friday,0,rural,1,1,rain,medium,28,high,drunk driving,major,1,1,1,None,0.6
498,Bangalore,Karnataka,12.940417,77.683922,2022-04-16,17:00,17,Saturday,1,highway,6,0,rain,low,30,high,overspeeding,minor,4,0,1,None,0.8
501,Bangalore,Karnataka,13.038925,77.471671,2024-11-27,17:00,17,Wednesday,0,highway,1,1,fog,low,21,high,weather,minor,3,1,1,None,0.8
504,Bangalore,Karnataka,12.935809,77.79042,2024-07-18,10:00,10,Thursday,0,rural,2,0,fog,low,34,high,distraction,fatal,2,2,1,None,1.0
512,Bangalore,Karnataka,12.938471,77.569677,2024-09-06,23:00,23,Friday,0,urban,3,1,clear,high,16,low,weather,major,2,1,0,None,0.1
526,Bangalore,Karnataka,12.965455,77.503129,2024-04-28,17:00,17,Sunday,1,highway,3,0,fog,low,32,high,poor road,major,3,3,1,None,0.8
536,Bangalore,Karnataka,12.92414,77.756905,2025-04-11,22:00,22,Friday,0,highway,3,1,fog,low,31,low,drunk driving,fatal,2,2,0,None,0.65
541,Bangalore,Karnataka,13.13621,77.482313,2022-09-25,11:00,11,Sunday,1,highway,3,1,clear,high,28,low,weather,minor,1,1,0,None,0.1
542,Bangalore,Karnataka,12.810978,77.534254,2023-06-04,4:00,4,Sunday,1,highway,3,1,rain,medium,15,low,poor road,minor,5,0,0,None,0.25
549,Bangalore,Karnataka,12.819454,77.621806,2025-02-02,11:00,11,Sunday,1,rural,1,0,rain,medium,21,low,distraction,major,3,1,0,None,0.25
618,Bangalore,Karnataka,12.947446,77.639582,2024-12-20,21:00,21,Friday,0,highway,2,1,fog,low,40,low,overspeeding,minor,1,1,0,None,0.45
622,Bangalore,Karnataka,12.827299,77.565062,2024-04-01,2:00,2,Monday,0,rural,6,1,fog,low,21,medium,weather,major,3,1,0,None,0.45
631,Bangalore,Karnataka,13.134811,77.461501,2023-06-06,11:00,11,Tuesday,0,highway,6,0,fog,low,26,low,overspeeding,major,3,3,0,None,0.45
633,Bangalore,Karnataka,12.917923,77.633189,2022-07-08,3:00,3,Friday,0,highway,2,0,fog,low,40,low,distraction,major,1,1,0,None,0.45
641,Bangalore,Karnataka,12.891307,77.647669,2022-02-22,23:00,23,Tuesday,0,highway,4,0,rain,medium,16,low,drunk driving,minor,3,3,0,None,0.25
643,Bangalore,Karnataka,12.90506,77.758076,2022-08-13,11:00,11,Saturday,1,highway,3,0,clear,high,22,low,drunk driving,major,1,0,0,None,0.1
675,Bangalore,Karnataka,12.816265,77.607839,2024-03-17,11:00,11,Sunday,1,urban,4,0,clear,high,16,low,weather,minor,5,2,0,None,0.1
688,Bangalore,Karnataka,13.165875,77.461909,2024-12-05,14:00,14,Thursday,0,rural,1,1,clear,high,31,medium,overspeeding,minor,4,1,0,None,0.1
689,Bangalore,Karnataka,13.190996,77.598571,2023-02-15,4:00,4,Wednesday,0,rural,2,1,rain,low,25,low,weather,minor,2,2,0,None,0.45
694,Bangalore,Karnataka,12.968574,77.645802,2023-01-16,18:00,18,Monday,0,urban,3,0,rain,medium,38,low,overspeeding,major,5,4,1,None,0.4
700,Bangalore,Karnataka,13.069173,77.427836,2022-04-15,20:00,20,Friday,0,rural,4,0,clear,high,19,medium,poor road,fatal,1,1,0,None,0.3
708,Bangalore,Karnataka,13.085083,77.477491,2023-12-28,7:00,7,Thursday,0,highway,6,0,fog,low,34,high,drunk driving,minor,4,0,0,None,0.65
710,Bangalore,Karnataka,12.960497,77.428281,2024-10-10,4:00,4,Thursday,0,urban,3,0,clear,high,22,low,overspeeding,major,4,3,0,None,0.1
711,Bangalore,Karnataka,13.092876,77.438094,2023-07-31,13:00,13,Monday,0,rural,5,1,clear,high,32,low,drunk driving,fatal,4,4,0,None,0.3
715,Bangalore,Karnataka,12.856506,77.413713,2023-05-24,3:00,3,Wednesday,0,rural,5,1,rain,low,21,low,poor road,minor,4,2,0,None,0.45
721,Bangalore,Karnataka,12.845138,77.48325,2023-05-03,11:00,11,Wednesday,0,highway,3,1,rain,low,36,high,weather,minor,1,1,0,None,0.65
726,Bangalore,Karnataka,13.167738,77.78453,2023-05-07,6:00,6,Sunday,1,highway,4,0,clear,high,19,medium,distraction,minor,5,3,0,None,0.1
736,Bangalore,Karnataka,13.069343,77.79128,2023-12-11,12:00,12,Monday,0,rural,3,0,rain,low,32,low,overspeeding,major,2,2,0,None,0.45
737,Bangalore,Karnataka,12.917587,77.670324,2024-02-20,17:00,17,Tuesday,0,urban,5,0,rain,low,28,high,overspeeding,fatal,2,2,1,None,1.0
739,Bangalore,Karnataka,13.179598,77.772582,2023-09-22,21:00,21,Friday,0,highway,6,1,rain,low,35,low,weather,minor,3,2,0,None,0.45
748,Bangalore,Karnataka,12.835792,77.752357,2023-12-28,0:00,0,Thursday,0,highway,1,1,fog,low,39,low,poor road,fatal,4,4,0,None,0.65
760,Bangalore,Karnataka,12.8694,77.65814,2022-01-11,21:00,21,Tuesday,0,highway,5,0,rain,medium,16,low,overspeeding,major,1,0,0,None,0.25
764,Bangalore,Karnataka,12.802377,77.531486,2025-03-28,19:00,19,Friday,0,highway,3,0,fog,low,16,high,poor road,minor,5,1,1,None,0.8
767,Bangalore,Karnataka,13.008603,77.560537,2022-01-18,5:00,5,Tuesday,0,urban,1,1,fog,low,16,high,poor road,minor,4,1,0,None,0.65
768,Bangalore,Karnataka,13.185794,77.530987,2024-03-09,5:00,5,Saturday,1,urban,2,1,clear,high,32,low,weather,major,1,1,0,None,0.1
770,Bangalore,Karnataka,13.0412,77.550866,2023-01-25,2:00,2,Wednesday,0,rural,4,0,rain,medium,37,high,distraction,major,1,0,0,None,0.45
772,Bangalore,Karnataka,13.113624,77.78357,2024-06-12,12:00,12,Wednesday,0,highway,4,0,clear,high,36,low,weather,fatal,2,2,0,None,0.3
773,Bangalore,Karnataka,13.019215,77.504047,2023-10-11,11:00,11,Wednesday,0,highway,4,0,rain,medium,36,high,poor road,major,4,4,0,None,0.45
783,Bangalore,Karnataka,12.817848,77.743694,2023-05-12,2:00,2,Friday,0,rural,1,1,rain,medium,40,low,drunk driving,major,3,3,0,None,0.25
794,Bangalore,Karnataka,12.814243,77.733412,2024-01-05,13:00,13,Friday,0,urban,4,1,rain,low,22,medium,drunk driving,minor,3,3,0,None,0.45
801,Bangalore,Karnataka,12.947573,77.762715,2023-08-23,4:00,4,Wednesday,0,urban,1,1,rain,low,36,low,drunk driving,fatal,5,5,0,None,0.65
805,Bangalore,Karnataka,13.072616,77.571209,2024-02-06,16:00,16,Tuesday,0,urban,2,1,rain,medium,26,high,weather,minor,5,3,0,None,0.45
814,Bangalore,Karnataka,12.967443,77.679003,2022-01-31,19:00,19,Monday,0,highway,2,1,fog,low,34,high,distraction,fatal,4,4,1,None,1.0
822,Bangalore,Karnataka,13.121989,77.500142,2023-05-14,4:00,4,Sunday,1,urban,3,1,clear,high,32,low,poor road,fatal,5,5,0,None,0.3
829,Bangalore,Karnataka,12.952218,77.518738,2023-08-01,18:00,18,Tuesday,0,rural,4,0,clear,high,29,medium,drunk driving,fatal,4,4,1,None,0.45
833,Bangalore,Karnataka,12.82512,77.61553,2023-10-17,21:00,21,Tuesday,0,urban,6,0,clear,high,17,high,drunk driving,major,5,4,0,None,0.3
835,Bangalore,Karnataka,13.018816,77.765548,2022-11-27,14:00,14,Sunday,1,urban,1,0,fog,low,20,medium,distraction,minor,5,3,0,None,0.45
844,Bangalore,Karnataka,12.999744,77.711826,2022-12-18,21:00,21,Sunday,1,rural,1,1,fog,low,18,medium,poor road,minor,1,1,0,None,0.45
888,Bangalore,Karnataka,12.852151,77.42633,2023-07-04,19:00,19,Tuesday,0,rural,4,1,fog,low,19,low,poor road,minor,3,1,1,None,0.6
889,Bangalore,Karnataka,13.040029,77.75551,2022-12-31,14:00,14,Saturday,1,urban,3,1,fog,low,33,medium,poor road,fatal,1,1,0,None,0.65
892,Bangalore,Karnataka,13.081384,77.429306,2025-01-22,12:00,12,Wednesday,0,highway,5,1,clear,high,23,low,overspeeding,major,2,2,0,None,0.1
907,Bangalore,Karnataka,12.912763,77.452611,2023-01-20,0:00,0,Friday,0,highway,2,0,clear,high,19,low,distraction,minor,2,0,0,None,0.1
910,Bangalore,Karnataka,13.053573,77.529796,2023-01-20,11:00,11,Friday,0,highway,1,0,rain,medium,39,high,overspeeding,major,2,1,0,None,0.45
918,Bangalore,Karnataka,13.003003,77.645274,2022-06-20,17:00,17,Monday,0,rural,4,1,clear,high,38,medium,poor road,fatal,5,5,1,None,0.45
937,Bangalore,Karnataka,12.906675,77.640875,2025-01-16,1:00,1,Thursday,0,rural,4,1,clear,high,19,low,poor road,minor,5,5,0,None,0.1
938,Bangalore,Karnataka,13.177183,77.643861,2022-08-05,20:00,20,Friday,0,urban,4,0,clear,high,33,medium,poor road,minor,5,1,0,None,0.1
944,Bangalore,Karnataka,13.083511,77.433007,2024-09-06,21:00,21,Friday,0,highway,2,0,clear,high,21,low,poor road,minor,1,0,0,None,0.1
947,Bangalore,Karnataka,13.001736,77.575432,2023-05-25,9:00,9,Thursday,0,highway,2,0,rain,medium,18,high,distraction,minor,5,0,1,None,0.6
956,Bangalore,Karnataka,13.049316,77.488686,2024-01-21,18:00,18,Sunday,1,rural,5,1,fog,low,26,high,drunk driving,minor,5,5,1,None,0.8
970,Bangalore,Karnataka,13.053242,77.726658,2022-11-07,13:00,13,Monday,0,urban,2,1,clear,high,31,low,drunk driving,fatal,1,1,0,None,0.3
974,Bangalore,Karnataka,12.887308,77.672836,2025-02-04,14:00,14,Tuesday,0,rural,2,1,rain,low,28,high,overspeeding,minor,3,0,0,None,0.65
978,Bangalore,Karnataka,13.005031,77.565602,2023-03-30,18:00,18,Thursday,0,urban,2,1,fog,low,18,medium,distraction,fatal,2,2,1,None,0.8
1017,Bangalore,Karnataka,13.126207,77.791758,2024-01-22,19:00,19,Monday,0,highway,2,0,fog,low,35,high,distraction,major,5,5,1,None,0.8
1030,Bangalore,Karnataka,12.842634,77.513429,2023-09-11,19:00,19,Monday,0,highway,6,0,clear,high,37,medium,distraction,fatal,3,3,1,None,0.45
1031,Bangalore,Karnataka,13.066481,77.566033,2023-12-25,16:00,16,Monday,0,urban,5,0,rain,medium,16,low,drunk driving,minor,3,3,0,None,0.25
1062,Bangalore,Karnataka,12.973634,77.681859,2022-09-30,5:00,5,Friday,0,highway,4,1,fog,low,39,low,drunk driving,fatal,2,2,0,None,0.65
1088,Bangalore,Karnataka,12.840188,77.424246,2022-09-26,12:00,12,Monday,0,rural,6,0,clear,high,15,low,poor road,major,3,1,0,None,0.1
1089,Bangalore,Karnataka,12.942739,77.48557,2022-02-16,19:00,19,Wednesday,0,rural,2,0,clear,high,28,high,poor road,fatal,1,1,1,None,0.65
1092,Bangalore,Karnataka,13.188794,77.584702,2023-11-03,21:00,21,Friday,0,highway,3,1,clear,high,19,medium,drunk driving,fatal,1,1,0,None,0.3
1098,Bangalore,Karnataka,12.805367,77.570926,2023-07-04,6:00,6,Tuesday,0,highway,5,1,fog,low,23,high,overspeeding,minor,4,3,0,None,0.65
1109,Bangalore,Karnataka,12.985755,77.628061,2023-10-31,17:00,17,Tuesday,0,rural,2,0,rain,low,18,high,poor road,major,1,1,1,None,0.8
1110,Bangalore,Karnataka,12.807803,77.444147,2025-04-08,6:00,6,Tuesday,0,highway,2,1,rain,medium,35,high,drunk driving,fatal,4,4,0,None,0.65
1124,Bangalore,Karnataka,13.085629,77.595586,2023-12-23,22:00,22,Saturday,1,rural,2,0,rain,medium,30,high,poor road,major,3,3,0,None,0.45
1139,Bangalore,Karnataka,13.055615,77.505528,2023-09-27,9:00,9,Wednesday,0,highway,2,1,fog,low,36,high,poor road,minor,4,0,1,None,0.8
1143,Bangalore,Karnataka,13.076719,77.790458,2022-03-09,16:00,16,Wednesday,0,highway,5,0,clear,high,39,medium,poor road,minor,2,2,0,None,0.1
1151,Bangalore,Karnataka,13.015842,77.468103,2025-01-16,18:00,18,Thursday,0,highway,1,0,rain,medium,36,medium,weather,fatal,1,1,1,None,0.6
1159,Bangalore,Karnataka,12.842803,77.75041,2023-04-15,7:00,7,Saturday,1,highway,3,1,fog,low,21,low,drunk driving,minor,2,2,0,None,0.45
1160,Bangalore,Karnataka,13.012282,77.797013,2023-03-28,20:00,20,Tuesday,0,rural,4,0,clear,high,27,low,weather,minor,1,1,0,None,0.1
1175,Bangalore,Karnataka,12.904959,77.572763,2022-05-11,3:00,3,Wednesday,0,urban,4,1,clear,high,24,low,distraction,fatal,1,1,0,None,0.3
1181,Bangalore,Karnataka,12.817483,77.495538,2024-09-08,17:00,17,Sunday,1,urban,4,1,rain,medium,23,high,distraction,major,3,1,1,None,0.6
1192,Bangalore,Karnataka,12.94777,77.799432,2024-06-26,23:00,23,Wednesday,0,rural,5,1,fog,low,36,low,poor road,major,3,2,0,None,0.45
1206,Bangalore,Karnataka,12.809608,77.627387,2022-01-01,15:00,15,Saturday,1,rural,5,1,fog,low,30,high,weather,minor,5,5,0,None,0.65
1212,Bangalore,Karnataka,13.017352,77.796523,2023-03-15,20:00,20,Wednesday,0,rural,4,0,rain,medium,38,high,distraction,minor,5,3,0,None,0.45
1227,Bangalore,Karnataka,12.839165,77.520881,2023-04-20,17:00,17,Thursday,0,urban,6,0,rain,low,34,high,distraction,minor,2,0,1,None,0.8
1228,Bangalore,Karnataka,13.189709,77.406133,2025-01-10,23:00,23,Friday,0,urban,4,0,rain,medium,18,high,drunk driving,minor,1,1,0,None,0.45
1230,Bangalore,Karnataka,12.952636,77.591347,2022-12-24,8:00,8,Saturday,1,urban,1,1,rain,low,31,high,poor road,major,5,0,1,None,0.8
1250,Bangalore,Karnataka,13.034066,77.680384,2022-01-05,15:00,15,Wednesday,0,urban,1,0,clear,high,39,low,overspeeding,minor,5,3,0,None,0.1
1254,Bangalore,Karnataka,12.803683,77.796433,2024-08-07,1:00,1,Wednesday,0,highway,3,1,fog,low,30,medium,overspeeding,minor,3,2,0,None,0.45
1257,Bangalore,Karnataka,13.123688,77.585259,2023-12-19,9:00,9,Tuesday,0,urban,1,1,fog,low,37,high,poor road,major,1,1,1,None,0.8
1259,Bangalore,Karnataka,12.815939,77.674259,2023-05-14,22:00,22,Sunday,1,rural,4,1,rain,medium,37,high,weather,minor,3,2,0,None,0.45
1274,Bangalore,Karnataka,12.955431,77.591543,2022-04-30,16:00,16,Saturday,1,highway,3,1,clear,high,34,low,drunk driving,minor,4,1,0,None,0.1
1288,Bangalore,Karnataka,12.83566,77.727016,2022-02-10,7:00,7,Thursday,0,rural,1,0,rain,low,18,medium,overspeeding,fatal,1,1,0,None,0.65
1316,Bangalore,Karnataka,13.089078,77.766357,2024-04-06,16:00,16,Saturday,1,urban,3,0,clear,high,16,low,overspeeding,major,3,0,0,None,0.1
1320,Bangalore,Karnataka,13.051916,77.518816,2022-05-21,11:00,11,Saturday,1,highway,3,0,rain,low,24,high,poor road,minor,1,1,0,None,0.65
1328,Bangalore,Karnataka,12.880096,77.491795,2023-05-15,21:00,21,Monday,0,rural,3,0,rain,medium,34,low,poor road,major,4,4,0,None,0.25
1333,Bangalore,Karnataka,13.156659,77.460686,2022-05-31,0:00,0,Tuesday,0,rural,4,1,fog,low,32,low,weather,major,1,0,0,None,0.45
1337,Bangalore,Karnataka,13.184077,77.742654,2022-07-24,22:00,22,Sunday,1,urban,4,0,fog,low,26,high,overspeeding,minor,2,1,0,None,0.65
1347,Bangalore,Karnataka,12.975474,77.625742,2023-03-17,6:00,6,Friday,0,rural,4,0,fog,low,25,high,drunk driving,major,4,3,0,None,0.65
1362,Bangalore,Karnataka,12.99251,77.436452,2025-02-02,13:00,13,Sunday,1,rural,2,0,clear,high,18,medium,drunk driving,major,5,4,0,None,0.1
1369,Bangalore,Karnataka,12.909747,77.549129,2022-03-16,17:00,17,Wednesday,0,rural,3,1,fog,low,37,high,distraction,minor,1,1,1,None,0.8
1372,Bangalore,Karnataka,12.907141,77.774351,2025-03-06,1:00,1,Thursday,0,rural,6,1,fog,low,23,medium,overspeeding,minor,4,2,0,None,0.45
1386,Bangalore,Karnataka,12.983837,77.456972,2023-07-07,16:00,16,Friday,0,urban,6,1,clear,high,37,low,drunk driving,minor,4,4,0,None,0.1
1390,Bangalore,Karnataka,13.153862,77.708747,2024-02-13,11:00,11,Tuesday,0,highway,2,1,clear,high,34,low,poor road,major,3,1,0,None,0.1
1395,Bangalore,Karnataka,13.003229,77.520425,2024-10-23,12:00,12,Wednesday,0,rural,1,0,rain,low,30,high,weather,fatal,1,1,0,None,0.85
1396,Bangalore,Karnataka,12.894495,77.658501,2024-07-06,13:00,13,Saturday,1,rural,3,0,rain,medium,37,medium,weather,minor,2,2,0,None,0.25
1397,Bangalore,Karnataka,13.156098,77.795454,2024-05-09,16:00,16,Thursday,0,rural,4,1,rain,medium,29,medium,poor road,fatal,2,2,0,None,0.45
1398,Bangalore,Karnataka,12.946704,77.52274,2022-09-30,16:00,16,Friday,0,rural,1,1,fog,low,36,medium,poor road,minor,4,1,0,None,0.45
1404,Bangalore,Karnataka,12.925519,77.691571,2024-11-13,6:00,6,Wednesday,0,rural,2,1,fog,low,27,low,overspeeding,major,2,1,0,None,0.45
1414,Bangalore,Karnataka,13.159109,77.497704,2024-04-28,14:00,14,Sunday,1,urban,1,0,rain,medium,20,low,overspeeding,minor,1,1,0,None,0.25
1415,Bangalore,Karnataka,12.846784,77.432473,2022-01-06,3:00,3,Thursday,0,rural,4,0,clear,high,32,low,poor road,minor,5,3,0,None,0.1
1421,Bangalore,Karnataka,13.113659,77.553507,2023-02-13,13:00,13,Monday,0,urban,1,0,fog,low,17,low,distraction,minor,4,0,0,None,0.45
